profile,h_over_J,N,r,value
xx,1.4,40,13,0.7396011706656398
xx,1.4,40,14,0.7398279225495468
xx,1.4,40,15,0.7400728709107104
xx,1.4,40,16,0.7403382560085249
xx,1.4,40,17,0.7406267287223508
xx,1.4,40,18,0.7409414309185428
xx,1.4,40,19,0.7412861068232066
xx,1.4,40,20,0.7416652512154711
connected_zz,1.4,40,0,1.0000000000000004
connected_zz,1.4,40,1,0.38407247487492713
connected_zz,1.4,40,2,0.21130874959259296
connected_zz,1.4,40,3,0.12751136537295976
connected_zz,1.4,40,4,0.08035114994471655
connected_zz,1.4,40,5,0.05193009539347528
connected_zz,1.4,40,6,0.03412747989207433
connected_zz,1.4,40,7,0.022695267656263007
connected_zz,1.4,40,8,0.015226212646210444
connected_zz,1.4,40,9,0.010284691301335918
connected_zz,1.4,40,10,0.006984297168497872
connected_zz,1.4,40,11,0.004763477042455175
connected_zz,1.4,40,12,0.003260099471741389
connected_zz,1.4,40,13,0.0022374278760789903
connected_zz,1.4,40,14,0.0015390006605877232
connected_zz,1.4,40,15,0.001060482261074787
connected_zz,1.4,40,16,0.0007317809605887625
connected_zz,1.4,40,17,0.0005055204036689689
connected_zz,1.4,40,18,0.00034951526430443224
connected_zz,1.4,40,19,0.00024180881958748863
connected_zz,1.4,40,20,0.0001673709477111837
